NL;FOL;LLM_FOL;BLEU;LE
A vaccine that is effective provides immunity, reduces the risk of infection, and often contributes to herd immunity in a population.;∀x (Vaccine(x) ∧ Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∧ OftenContributesToHerdImmunityInPopulation(x));∀x (Effective(x) → ProvidesImmunity(x) ∧ ReducesRiskOfInfection(x) ∧ OftenContributesToHerdImmunity(x));0.6434993439607255;0.96875
A satellite orbits Earth, transmitting and receiving data, enabling services such as weather forecasting, global positioning, and communication.;∀x ∀y (Satellite(x) ∧ (OrbitsEarth(x) ∧ TransmitsAndReceivesData(x, y)) ∧ (EnablesWeatherForecasting(y) ∨ EnablesGlobalPositioning(y) ∨ EnablesCommunication(y)));∀x (Satellite(x) → (Orbit(x, Earth) ∧ Transmit(x, Data) ∧ Receive(x, Data) ∧ Enable(x, WeatherForecasting) ∧ Enable(x, GlobalPositioning) ∧ Enable(x, Communication)));0.15384750052099497;0.5078125
A flower blooms in spring if it requires a specific amount of sunlight and warmth for its growth and development.;∀x (BloomsInSpring(x) ↔ (Flower(x) ∧ RequiresSpecificSunlight(x) ∧ RequiresWarmth(x)));(∀x)(Flower(x) ∧ RequiresSunlight(x, y) ∧ RequiresWarmth(x, z) → BloomsInSpring(x) ∧ y = specificAmount ∧ z = specificAmount);0.35133101243919723;0.0
A tree loses its leaves in the autumn, while an evergreen tree retains its leaves throughout the year.;∀x (Tree(x) → (LosesLeavesInAutumn(x) ∨ RetainsLeavesThroughoutYear(x))) ∧ ∀y (EvergreenTree(y) → RetainsLeavesThroughoutYear(y));∀x (Tree(x) → (Autumn → LoseLeaves(x)) ∧ EvergreenTree(x) → (ThroughoutYear → RetainLeaves(x)));0.43944092710957366;0.0
A smartphone can be used for communication, entertainment, and productivity.;∀x (Smartphone(x) → (UsedForCommunication(x) ∧ UsedForEntertainment(x) ∧ UsedForProductivity(x)));∀x (Smartphone(x) → Communication(x) ∧ Entertainment(x) ∧ Productivity(x));0.5652500552583395;0.625
When a bird migrates, it travels long distances, often across continents, and usually follows a seasonal pattern to find resources.;∀x (Bird(x) ∧ Migrates(x) → TravelsLongDistances(x) ∧ OftenCrossesContinents(x) ∧ UsuallyFollowsSeasonalPatternToFindResources(x));migrate(X) ∧ bird(X) → long_distance_travel(X) ∧ cross_continents(X) ∧ seasonal_pattern(X) ∧ find_resources(X);0.0;0.890625
An electron can be found in either an orbital or a suborbital, but not in both simultaneously.;∀x (Electron(x) ∧ (Orbital(x) ⊕ Suborbital(x)));∀x (Electron(x) → (Orbital(x) ∨ Suborbital(x)) ∧ ¬(Orbital(x) ∧ Suborbital(x)));0.4478860307233996;0.625
A coat is appropriate for cold weather if it is made of wool, has a hood, and is insulated.;∀x (Coat(x) ∧ Wool(x) ∧ Hood(x) ∧ Insulated(x) → AppropriateForColdWeather(x));coat(x) ∧ madeOfWool(x) ∧ hasHood(x) ∧ isInsulated(x) → appropriateForColdWeather(x);0.5385001672170208;1.0
A type of music that originated in African American communities, features improvisation, and uses syncopation is called jazz.;∀x (MusicType(x) ∧ OriginatedInAfricanAmericanCommunities(x) ∧ FeaturesImprovisation(x) ∧ UsesSyncopation(x) → Jazz(x));originated_in(AfricanAmericanCommunities, Jazz) ∧ features_improvisation(Jazz) ∧ uses_syncopation(Jazz);0.0;0.15625
A country has a coastline if it is bordered by an ocean or a sea.;∀x (Country(x) ∧ (BorderedByOcean(x) ∨ BorderedBySea(x)) → HasCoastline(x));∀x (Country(x) → (∃y (Ocean(y) ∧ Border(x, y)) ∨ ∃z (Sea(z) ∧ Border(x, z))));0.21232871151441488;0.78125
A prism disperses white light into a spectrum of colors.;∀x∀y (Prism(x) ∧ WhiteLight(y) → DispersesIntoSpectrumOfColors(x, y));∀x (Prism(x) → Disperses(x, WhiteLight) ∧ Into(x, SpectrumOfColors));0.29667321229016935;0.5
A book becomes a bestseller when it has a high sales volume and positive reviews.;∀x (Book(x) ∧ HighSalesVolume(x) ∧ PositiveReviews(x) → Bestseller(x));∀x (Book(x) → (HighSalesVolume(x) ∧ PositiveReviews(x)) → Bestseller(x));0.7909129169328468;0.75
Farmers grow crops, while miners extract minerals.;∀x (Farmer(x) → GrowsCrops(x)) ∧ ∀y (Miner(y) → ExtractsMinerals(y));grow(crop, farmer) ∧ extract(mineral, miner);0.0;0.6875
If an individual participates in community events, they are more likely to have a strong sense of belonging and connection with their community.;∀x (ParticipatesInCommunityEvents(x) → (StrongSenseOfBelonging(x) ∧ ConnectionWithCommunity(x)));∀x (ParticipatesInCommunityEvents(x) → LikelyToHaveStrongSenseOfBelongingAndConnection(x));0.44424794252656474;0.875
Winter is cold, and summer is hot.;∀x (Winter(x) → Cold(x)) ∧ ∀y (Summer(y) → Hot(y));winter(x) ∧ cold(x) ∧ summer(y) ∧ hot(y);0.3446481693313337;0.5
A beverage that contains caffeine, is served hot, and is made from roasted seeds is coffee.;∀x∀y (Beverage(x) ∧ ContainsCaffeine(x) ∧ ServedHot(x) ∧ RoastedSeeds(y) ∧ MadeFrom(x, y) → Coffee(x));caffeine(X) ∧ served_hot(X) ∧ made_from_roasted_seeds(X) → coffee(X);0.07348685838762672;0.953125
A planet with an atmosphere containing oxygen can support human life.;∀x (Planet(x) ∧ AtmosphereContainsOxygen(x) → SupportsHumanLife(x));∀x (Planet(x) ∧ Atmosphere(x, Oxygen) → SupportHumanLife(x));0.5305903666964891;1.0
A building with proper insulation, energy-efficient windows, and solar panels is considered energy efficient.;∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x));∀x (Building(x) ∧ ProperInsulation(x) ∧ EnergyEfficientWindows(x) ∧ SolarPanels(x) → EnergyEfficient(x));1.0;1.0
A river flows from its source, often in the mountains, through various landscapes until it reaches a larger body of water, such as an ocean or lake.;∀x (River(x) ↔ (∃y (Source(x, y) ∧ Mountains(y)) ∧ FlowsThroughVariousLandscapes(x) ∧ ReachesLargerBodyOfWater(x)));∀x (river(x) → (∃y (source(y) ∧ flow(x, y)) ∧ ∃z (landscape(z) ∧ flow(x, z)) ∧ ∃w (water_body(w) ∧ flow(x, w))));0.3399549237361797;0.9453125
A dessert is frozen if it requires refrigeration, is served cold, and isn't a baked good.;∀x (Dessert(x) ∧ Frozen(x) ↔ (RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x)));∀x (Dessert(x) ∧ RequiresRefrigeration(x) ∧ ServedCold(x) ∧ ¬BakedGood(x) → Frozen(x));0.7900306700739731;0.71875
A clock measures time, and a scale measures weight.;∀x∀y (Clock(x) ∧ Scale(y) → (Measures(x, Time) ∧ Measures(y, Weight)));∀x (Clock(x) → MeasuresTime(x)) ∧ ∀y (Scale(y) → MeasuresWeight(y));0.34467540935576085;0.75
A company that produces electronics and has a global presence is an international electronics manufacturer.;∀x (Company(x) ∧ ProducesElectronics(x) ∧ GlobalPresence(x) → InternationalElectronicsManufacturer(x));∀x (ElectronicsProducer(x) ∧ GlobalPresence(x) → InternationalElectronicsManufacturer(x));0.6358410042286204;0.9375
A building has either an elevator or stairs, but not both.;∀x (Building(x) → ((HasElevator(x) ⊕ HasStairs(x))));∀x (Building(x) → (Elevator(x) ∨ Stairs(x)) ∧ ¬(Elevator(x) ∧ Stairs(x)));0.3997561615347112;0.875
A computer requires an input device, such as a keyboard or a mouse, and an output device, like a monitor or speakers.;∀x (Computer(x) → (∃y (InputDevice(y) ∧ (Keyboard(y) ∨ Mouse(y))) ∧ ∃z (OutputDevice(z) ∧ (Monitor(z) ∨ Speakers(z)))));∀x (Computer(x) → (∃y (InputDevice(y) ∧ Keyboard(y) ∨ Mouse(y)) ∧ ∃z (OutputDevice(z) ∧ Monitor(z) ∨ Speakers(z))));0.8528115872342431;0.875
Trees absorb carbon dioxide, while cars emit carbon dioxide, and factories release carbon dioxide as a byproduct.;∀x ∀y ∀z (Tree(x) ∧ Car(y) ∧ Factory(z) → (AbsorbsCO2(x) ∧ EmitsCO2(y) ∧ ReleasesCO2Byproduct(z)));∀x (Tree(x) → AbsorbsCarbonDioxide(x)) ∧ ∀y (Car(y) → EmitsCarbonDioxide(y)) ∧ ∀z (Factory(z) → ReleasesCarbonDioxide(z));0.40640156264871174;0.53125
A person who designs and creates video games is called a game developer.;∀x (DesignsAndCreatesVideoGames(x) → GameDeveloper(x));∀x (GameDeveloper(x) ↔ (DesignsVideoGames(x) ∧ CreatesVideoGames(x)));0.29494729140780945;0.75
An apple is red or green, but not both.;∀x (Apple(x) → (Red(x) ⊕ Green(x)));∀x (Apple(x) → (Red(x) ∨ Green(x)) ∧ ¬(Red(x) ∧ Green(x)));0.5032370023805727;0.875
Organisms that can produce their own food through photosynthesis, provide energy for other organisms, and do not consume other organisms are primary producers.;∀x (Organism(x) ∧ CanProduceOwnFoodThroughPhotosynthesis(x) ∧ ProvidesEnergyForOtherOrganisms(x) ∧ ¬ConsumesOtherOrganisms(x) → PrimaryProducer(x));∀x (PrimaryProducer(x) ↔ Photosynthesis(x) ∧ ProvidesEnergy(x) ∧ ¬ConsumesOrganisms(x));0.39985224098651023;0.15625
A device that converts thermal energy into electrical energy by using a temperature difference is a thermoelectric generator.;∀x ∀y (Device(x) ∧ ThermalEnergy(y) ∧ UsesTemperatureDifference(x, y) → ThermoelectricGenerator(x));∀x (ThermoelectricGenerator(x) → (EnergyConversion(x, ThermalEnergy, ElectricalEnergy) ∧ UseTemperatureDifference(x)));0.26895126830658295;0.6875
A dessert that is made from milk, sugar, and flavorings and is frozen is ice cream.;∀x (Dessert(x) ∧ MadeFromMilk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x));∀x (Dessert(x) ∧ Milk(x) ∧ Sugar(x) ∧ Flavorings(x) ∧ Frozen(x) → IceCream(x));0.9184678024441792;1.0
Birds migrate when the season changes and the temperature becomes unsuitable for their survival.;∀x ∀y (Bird(x) ∧ SeasonChange(y) ∧ UnsuitableTemperatureForSurvival(x, y) → Migrates(x));migrate(X) :- bird(X), season_changes, unsuitable_temperature_for_survival(X).;0.0;0.0
A food product is labeled organic if it is produced without synthetic pesticides and meets certain regulatory standards.;∀x (FoodProduct(x) ∧ ProducedWithoutSynthetics(x) ∧ MeetsRegulatoryStandards(x) → LabeledOrganic(x));organic(X) ∧ ¬syntheticPesticides(X) ∧ regulatoryStandards(X) → labeledOrganic(X);0.15426765696281117;0.875
An electronic device that displays the time, receives radio signals for accurate timekeeping, and is powered by a battery is a radio-controlled clock.;∀x (ElectronicDevice(x) ∧ DisplaysTime(x) ∧ ReceivesRadioSignals(x) ∧ BatteryPowered(x) → RadioControlledClock(x));radio_controlled_clock(X) :- electronic_device(X), displays_time(X), receives_radio_signals(X), accurate_timekeeping(X), powered_by_battery(X).;0.0;0.0
When a cell phone battery is depleted, it needs to be recharged.;∀x (CellPhone(x) ∧ BatteryDepleted(x) → NeedsRecharge(x));∀x (Depleted(x) → NeedsRecharge(x));0.5181314577632983;0.875
A healthy diet consisting of a variety of fruits, vegetables, whole grains, and lean proteins promotes overall well-being and reduces the risk of chronic diseases.;∀x (HealthyDiet(x) ∧ ContainsVarietyOfFruitsVegetablesWholeGrainsLeanProteins(x) → PromotesWellBeingAndReducesRiskOfChronicDiseases(x));∀x (HealthyDiet(x) → (Fruits(x) ∧ Vegetables(x) ∧ WholeGrains(x) ∧ LeanProteins(x) ∧ OverallWellBeing(x) ∧ ReducesChronicDiseaseRisk(x)));0.28543870606762245;0.6328125
A fruit is ripe if it is ready to be eaten and has reached its full flavor.;∀x (RipeFruit(x) ↔ (Fruit(x) ∧ ReadyToBeEaten(x) ∧ FullFlavor(x)));Ripe(x) ∧ ReadyToEat(x) ∧ FullFlavor(x) → Fruit(x);0.4586653847275827;0.5625
A book is a bestseller if it has sold over one million copies.;∀x (Book(x) ∧ SoldOverOneMillionCopies(x) → Bestseller(x));bestseller(X) :- sold(X, Y), Y > 1000000.;0.0;0.0
A place is considered a theater if it is a venue for live stage performances, often with a stage, curtains, and audience seating, and hosting plays, musicals, or other productions.;∀x (Place(x) ∧ VenueForLiveStagePerformances(x) ∧ OftenWithStageCurtainsAndAudienceSeating(x) ∧ HostsPlaysMusicalsOrOtherProductions(x) → Theater(x));∀x (Place(x) ∧ LiveStagePerformances(x) ∧ Stage(x) ∧ Curtains(x) ∧ AudienceSeating(x) ∧ HostsPlays(x) ∧ HostsMusicals(x) ∧ HostsProductions(x) → Theater(x));0.397018307919499;0.970703125
A beverage is classified as a soft drink if it does not contain alcohol and is typically carbonated.;∀x (Beverage(x) ∧ ¬ContainsAlcohol(x) ∧ TypicallyCarbonated(x) → SoftDrink(x));¬ContainsAlcohol(x) ∧ TypicallyCarbonated(x) → SoftDrink(x);0.5488116360940264;0.9375
A smartphone connects to the internet, makes calls, and sends messages.;∀x (Smartphone(x) → (ConnectsToInternet(x) ∧ MakesCalls(x) ∧ SendsMessages(x)));∀x (Smartphone(x) → (ConnectsToInternet(x) ∧ MakesCalls(x) ∧ SendsMessages(x)));1.0;1.0
A mountain forms from tectonic forces, has an elevation, and can be climbed.;∀x (Mountain(x) → (FormsFromTectonicForces(x) ∧ HasElevation(x) ∧ CanBeClimbed(x)));∀x (Mountain(x) → TectonicForces(x) ∧ Elevation(x) ∧ Climbable(x));0.5652500552583395;0.625
An artistic expression that involves movement and is not a dance is either a theater performance or a circus act.;∀x (ArtisticExpression(x) ∧ InvolvesMovement(x) ∧ ¬Dance(x) → TheaterPerformance(x) ⊕ CircusAct(x));∀x (ArtisticExpression(x) ∧ Movement(x) ∧ ¬Dance(x) → TheaterPerformance(x) ∨ CircusAct(x));0.8096427216101598;0.53125
A bird can fly and not swim, or swim and not fly.;∀x (Bird(x) → ((CanFly(x) ∧ ¬CanSwim(x)) ∨ (CanSwim(x) ∧ ¬CanFly(x))));(∀x: (Bird(x) ∧ Fly(x) ∧ ¬Swim(x)) ∨ (Bird(x) ∧ Swim(x) ∧ ¬Fly(x)));0.49083475537630006;0.0
An object is buoyant if it floats on the surface of a liquid.;∀x ∀y (Object(x) ∧ Liquid(y) ∧ FloatsOnSurface(x, y) → Buoyant(x));∀x (Buoyant(x) ↔ FloatsOnSurface(x, Liquid));0.18272814424330824;0.5625
A bat is a mammal and can fly, while a turtle is a reptile and cannot fly.;∀x ∀y (Bat(x) ∧ Turtle(y) → ((Mammal(x) ∧ CanFly(x)) ∧ (Reptile(y) ∧ ¬CanFly(y))));∀x (Bat(x) → Mammal(x) ∧ CanFly(x)) ∧ ∀y (Turtle(y) → Reptile(y) ∧ ¬CanFly(y));0.6789365363862434;0.375
A bicycle is a mountain bike if it has thick tires and is not designed for road use.;∀x (Bicycle(x) ∧ ThickTires(x) ∧ ¬DesignedForRoadUse(x) → MountainBike(x));∀x (Bicycle(x) ∧ ThickTires(x) ∧ ¬DesignedForRoadUse(x) → MountainBike(x));1.0;1.0
A red apple is sweet and a green apple is sour, while a yellow apple is a balance between sweet and sour.;∀x ∀y ∀z (RedApple(x) ∧ GreenApple(y) ∧ YellowApple(z) → ((IsSweet(x) ∧ IsSour(y)) ∧ (IsSweet(z) ⊕ IsSour(z))));∀x (Red(x) ∧ Apple(x) → Sweet(x)) ∧ ∀y (Green(y) ∧ Apple(y) → Sour(y)) ∧ ∀z (Yellow(z) ∧ Apple(z) → (Sweet(z) ∧ Sour(z)));0.31644895582906346;0.6982421875
