index;text;logicllama-2-7b-direct-translate-delta-v0.1-Q6_K;Hermes-2-Pro-Mistral-7B.Q6_K;Hermes-2-Pro-Llama-3-8B-Q6_K;logic_llama_2_13b_Q5_K_M
20;Every person dances and sleeps;∀x (Person(x) → (Dances(x) ∧ Sleeps(x));∀x (Person(x) → (Dances(x) ∧ Sleeps(x)));∀x (Person(x) → Dance(x) ∧ Sleep(x);∀x (Person(x) → (Dances(x) ∧ Sleeps(x))
21;Every student who likes Mary is happy;∀x (Student(x) ∧ LikesMary(x) → Happy(x);∀x (likes(x, Mary) → happy(x));∀x (Student(x) ∧ Likes(x, Mary) → Happy(x);∀x (Student(x) ∧ LikesMary(x) → Happy(x)
22;Every student who likes apples is healthy;∀x (Student(x) ∧ LikesApples(x) → Healthy(x);"Let's define the following predicates and a universal quantifier for this problem:

- P(x): x is a student
- Q(x): x likes apples
- R(x): x is healthy

The given statement can be translated into a first-order logic rule as follows:

∀x (P(x) ∧ Q(x) → R(x))

This FOL rule states that for all x, if x is a student and x likes apples, then x is healthy.";∀x (Student(x) ∧ Likes(x, Apples) → Healthy(x);∀x (Student(x) ∧ LikesApples(x) → Healthy(x)
23;John likes apples;∀x (Likes(x, Apples);"In first-order logic, we can represent the statement ""John likes apples"" as follows:

Likes(John, Apples)

Here, ""Likes"" is a predicate (relation) that holds between two entities, ""John"" and ""Apples"". This FOL rule states that John has the property of liking apples.";∀x, (x = apples → John likes x;∀x (Apple(x) → Likes(John, x)
24;John is not Mary;"¬∃x (Person(x) ∧ Name(x, ""John"") ∧ Name(x, ""Mary"")";"Let's represent the natural language statement using first-order logic. We can use the predicate ""is"" to represent the relationship between two individuals, and ""not"" to indicate the negation of the relationship.

In FOL, the statement can be represented as:

¬(is(John, Mary))

This rule states that the relationship ""is"" does not hold between John and Mary.";∀x (John(x) ∧ Mary(x) → ¬x;¬(John(x) ∧ Mary(y)
25;John is not a llama;¬Llama(john;¬(John ∧ Llama);∀x (John(x) → ¬Llama(x);¬(Llama(john)
26;Not all those who wander are lost;¬∀x (Wanderer(x) → Lost(x);"¬∀x (w(x) → l(x))

Here, 'w(x)' represents ""x wanders"" and 'l(x)' represents ""x is lost."" The rule states that it is not the case for all x that if x wanders, then x is lost.";∀x (Wanderer(x) → ¬Lost(x);¬∀x (Wander(x) → Lost(x)
27;No people who wander are lost;∀x (Person(x) ∧ Wanders(x) → ¬Lost(x);"To translate the given natural language statement into a first-order logic rule, we can use the following FOL representation:

∀x (Wanders(x) → ¬Lost(x))

Here, 'x' represents an individual person, 'Wanders(x)' represents the property that person 'x' is wandering, and 'Lost(x)' represents the property that person 'x' is lost. The universal quantifier (∀x) ensures that this rule applies to all people, and the implication (→) states that if a person wanders, then they are not lost.";∀x (Wanderer(x) → ¬Lost(x);¬∀x (Person(x) ∧ Wanders(x) → Lost(x)
28;John does not love anyone;¬∃x (Loves(John, x);∀x (¬(John loves x));∀x, ¬(Loves(x, John) ∧ x ≠ John;¬∃x (Love(x, John)
29;John does not love everyone;¬∀x (Loves(John, x);¬∀x (loves(John, x));∀x (¬Loves(x, John) ∨ ¬Person(x);¬∀x (Person(x) → LovedBy(John, x)
30;Everyone who sees Mary loves Mary;∀x (Sees(x, Mary) → Loves(x, Mary);∀x (sees(x, Mary) → loves(x, Mary));∀x (sees(x, Mary) → loves(x, Mary);∀x (Sees(x, Mary) → Loves(x, Mary)
31;Everyone loves someone;∀x (Loves(x) → ∃y (Person(y) ∧ LovedBy(x, y));"∀x (∃y (L(x, y)))

In this FOL rule, ""L"" represents the predicate ""loves"", and ""x"" and ""y"" are individual variables. The universal quantifier (∀) indicates that the statement applies to everyone (all x), and the existential quantifier (∃) specifies that there exists at least one person (y) whom each individual (x) loves.";∀x, ∃y (Person(x) ∧ Person(y) ∧ Loves(x, y);∀x (Loves(x, y) ∧ ¬Loves(x, z) ∧ ¬Loves(y, z)
32;Someone loves everyone;∃x (LovesEveryone(x);∃x (∀y (L(x, y)));∀x, ∀y (Loves(x, y) → Loves(x, Everyone);∃x (Loves(x, Everyone)
33;Someone respects everyone;∀x (Person(x) → RespectsEveryone(x);"Let's represent the natural language statement in first-order logic.

Let R(x, y) represent the relation ""person x respects person y"".

The natural language statement ""Someone respects everyone"" can be translated to the following FOL rule:

∃x ∀y R(x, y)";∀x, y (Respects(x, y) ∧ Person(x) ∧ Person(y);∃x (Person(x) ∧ RespectsEveryone(x)
34;Someone sees everyone;∃x (Person(x) ∧ SeesEveryone(x));"Let's define the following predicates and constants:

- 'S(x, y)' means that person x sees person y.
- 'E' represents the set of all people (the domain of discourse).

Now, we can translate the natural language statement ""Someone sees everyone"" into a FOL rule:

∃x (∀y (S(x, y) ∧ y ∈ E))";∀x, y (Person(x) ∧ Person(y) → Sees(x, y);∃x (Sees(x, Everyone)
35;Someone reads and thinks;∃x (Person(x) ∧ Reads(x) ∧ Thinks(x));"Let's represent the natural language statement using first-order logic. We can use a predicate ""R"" for ""reads"" and ""T"" for ""thinks"". We can also introduce a variable ""x"" to represent an individual.

R(x) ∧ T(x)

This FOL rule states that there exists an individual (x) who both reads and thinks.";∃x (Person(x) ∧ Reads(x) ∧ Thinks(x);∃x (Person(x) ∧ Reads(x) ∧ Thinks(x)
36;Everyone who thinks is smart;∀x (Thinks(x) → Smart(x);"Let's define the following symbols:

- P(x): x is a person
- T(x): x thinks
- S(x): x is smart

Now, we can translate the natural language statement into a first-order logic rule:

∀x (P(x) ∧ T(x) → S(x))";∀x (Thinker(x) → Smart(x);∀x (Thinks(x) → Smart(x)
37;No one who runs walks;∀x (Runs(x) → ¬Walks(x);∀x (R(x) → ¬W(x));∀x (¬(runs(x) ∧ walks(x));¬∃x (Person(x) ∧ Runs(x)
38;If anyone cheats, he suffers;∀x (Cheats(x) → Suffer(x);"Let C represent the predicate ""cheats"" and S represent the predicate ""suffers"". The given statement can be translated to a FOL rule as follows:

∀x (C(x) → S(x))";∀x (Cheats(x) → Suffers(x);∀x (Cheats(x) → Suffer(x)
39;If anyone cheats, the person suffers;∀x (Cheats(x) → Suffer(x);"Let C represent the predicate ""cheats"" and S represent the predicate ""suffers"". The given statement can be translated to a FOL rule as follows:

∀x (C(x) → S(x))";∀x (Cheats(x) → Suffers(x);∀x (Cheats(x) → Suffer(x)
40;If anyone cheats, a person suffers;∀x (Cheats(x) → Suffer(x);"Let C represent the predicate ""cheats"" and S represent the predicate ""suffers"". The given statement can be translated into a first-order logic rule as follows:

∃x (C(x) → ∃y (S(y)))";∀x (Cheats(x) → Suffers(y);∀x (Cheats(x) → Suffer(x)
41;If anyone cheats, everyone suffers;∀x (Cheats(x) → Suffer(x);"Let C represent the proposition ""someone cheats"" and S represent the proposition ""everyone suffers."" The given statement can be translated to a FOL rule as follows:

C → S";∀x (Cheats(x) → ∃y (Suffers(y) ∧ y ≠ x);∀x (Cheats(x) → Suffer(Everyone)
42;If someone cheats, everybody else suffers;∀x (Cheats(x) → Suffer(y) ∧ ¬Cheats(y);"Let C represent the proposition ""someone cheats"", and S represent the proposition ""everybody else suffers"". We can then express the given statement in first-order logic as:

∀x (C → ∀y (S if y ≠ x))";∀x (Cheats(x) → ∃y (EverybodyElse(y) ∧ Suffers(y));∀x (Cheats(x) → Suffer(EverybodyElse)
43;If somebody cheats, everybody else suffers;∀x (Cheats(x) → Suffer(y) ∧ ¬Cheats(y);"Let C represent the proposition ""somebody cheats,"" and S represent the proposition ""everybody else suffers."" We can then express the given statement in first-order logic as:

∀x (C → ∀y (S if y ≠ x))";∀x (Cheats(x) → ∃y (y ≠ x ∧ Suffers(y));∀x (Cheats(x) → Suffer(y)
44;Mary loves everyone except John;∀x (Loves(Mary, x) ∧ ¬Loves(Mary, John);"Let's define the following symbols:

- M(x) represents ""Mary loves x"".
- J represents ""x is John"".

Now, we can translate the natural language statement into a FOL rule:

∀x (M(x) ∧ ¬J(x)) ∨ (¬M(x) ∧ ¬J(x))";∀x (Loves(Mary, x) ∧ ¬Loves(Mary, John) → x ≠ John;∀x (Person(x) ∧ ¬John(x) → Loves(Mary, x)
45;Anyone who loves everyone loves himself.;∀x (LovesEveryone(x) → LovesSelf(x);"Let L(x, y) represent the relation ""person x loves person y"". The given statement can be translated to a FOL rule as follows:

∀x (∀y (L(x, y) → L(x, x)))";∀x (Loves(x, Everyone) → Loves(x, x);∀x (LovesEveryone(x) → LovesHimself(x)
46;I don't know you;¬Knows(x, y);"¬K(x, y)

In this FOL rule, K represents the ""knows"" relationship between the individual x (the speaker) and y (the person being referred to). The symbol ¬ indicates ""not"" or negation, so the rule translates to ""It is not the case that the speaker knows the person being referred to.""";∀x (¬Know(y, x);¬(∃x (Person(x) ∧ Knows(me, x))
47;Nobody knows the answer;¬∃x (KnowsAnswer(x);"∀x (¬K(x, A)), where K(x, A) represents ""knows x the answer A"" and the universal quantifier (∀x) indicates that this statement applies to all individuals x.";"∀x (¬Kx(a)) 

In this translation, ""∀x"" represents ""for all x"", ""¬"" represents ""not"", ""Kx(a)"" represents ""x knows the answer"", and ""a"" represents ""the answer"". The rule states that for all individuals x, they do not know the answer";¬∃x (Person(x) ∧ KnowsAnswer(x)
48;Jim doesn't remember what Jack told him;¬Remembers(Jim, Jack);"Let's define the following symbols:

- P(x, y): Person x remembers what person y told him.
- J: Jim
- X: Jack

The given statement can be translated into a FOL rule as follows:

¬P(J, X)";∀x (x = Jim → ¬(x remembers Jack's information);¬Remember(Jim, Jack
49;Jane seems to know a lot of things;∀x (Jane(x) → ∃y (Knows(x, y) ∧ Thing(y));"Let's represent this natural language statement in first-order logic.

Let K(x, y) represent ""person x knows fact y"".
Let J represent Jane.

K(J, x) ∀ x (K(J, x) ↔ seems(J, knows(J, x)))

This FOL rule states that for all facts x, Jane seems to know fact x if and only if she actually knows fact x.";"To translate the natural language statement ""Jane seems to know a lot of things"" to a first-order logic (FOL) rule, we first need to define the necessary predicates and variables. Let's use the following predicates and variables:

- K(x, y): x knows y
- L(x): x knows a lot of things
- S(x, y): x seems to y

Now, we can translate the statement into a FOL rule:

∃x (S(Jane, x) ∧ K(x, y) ∧ L(Jane))

This rule states that there exists an x such that Jane seems to x, and x is something that Jane knows, and Jane knows a lot of things. Note that this is a simplified representation and may not capture all nuances of the original statement";∀x (Knows(x) → (∃y (Thing(y) ∧ Knows(y, x)))
50;John will either stay or go away;∀x (Person(x) ∧ John(x) → (Stay(x) ⊕ GoAway(x));"Let's define the following symbols:

- P(j): John stays
- Q(j): John goes away

The natural language statement can be represented as:

P(j) ∨ Q(j)

This can be translated to a first-order logic rule as:

∀j (P(j) ∨ Q(j))";∀x (John(x) → (Stay(x) ∨ GoAway(x));∀x (John(x) → (Stay(x) ⊕ GoAway(x))
51;University students pay attention to teachers;∀x∀y (Student(x) ∧ Teacher(y) → PaysAttentionTo(x, y);"Let U(x) represent ""x is a university student"", T(y) represent ""y is a teacher"", and P(u, t) represent ""u pays attention to t"". The given natural language statement can be translated to a first-order logic rule as follows:

∀u (U(u) → ∀t (T(t) → P(u, t)))";∀x (UniversityStudent(x) → PayAttention(x, Teacher);∀x∀y (UniversityStudent(x) ∧ Teacher(y) → PaysAttentionTo(x, y)
52;University students do not pay attention to teachers;¬∀x (Student(x) ∧ University(x) → ¬PayAttentionToTeachers(x);"Let's represent the given statement in first-order logic. We'll use the following symbols as a convention:

- 'U' to represent the predicate ""University students""
- 'P' to represent the predicate ""pay attention to teachers""
- 'x' to represent an individual variable for university students

The statement can be translated to a FOL rule as follows:

∀x (U(x) → ¬P(x, teachers))

This rule reads as ""For all x, if x is a university student, then x does not pay attention to teachers.""";∀x (UniversityStudent(x) → ¬PayAttention(x, Teacher);∀x (UniversityStudent(x) → ¬PayAttentionToTeachers(x)
53;Every professor has a favorite joke that they always tell to students;∀x (Professor(x) → ∃y (Joke(y) ∧ Favorite(x, y) ∧ AlwaysTells(x, y));∀x (Professor(x) → ∃y (FavoriteJoke(y) ∧ AlwaysTell(y, x, Student)));∀x (Professor(x) → ∃y (FavoriteJoke(x, y) ∧ AlwaysTell(x, y, Student(z)));∀x (Professor(x) → ∃y (Joke(y) ∧ FavoriteJoke(x, y) ∧ TellsToStudents(x, y))
54;Every university professor is a person who knows some subject well;∀x (UniversityProfessor(x) → KnowsSubjectWell(x);"Let U(x) represent ""x is a university professor"", P(x) represent ""x is a person"", and K(x, y) represent ""x knows subject y well"". The given statement can be translated to a FOL rule as:

∀x (U(x) → (P(x) ∧ ∃y (K(x, y))))";∀x (UniversityProfessor(x) → Person(x) ∧ Knows(x, SomeSubject) ∧ KnowsWell(x, SomeSubject);∀x (UniversityProfessor(x) → KnowsSubjectWell(x)
55;Not every university professor is happy;¬∀x (UniversityProfessor(x) → Happy(x);¬∀x (University_Professor(x) → Happy(x));∀x (UniversityProfessor(x) → ¬Happy(x);¬∀x (UniversityProfessor(x) → Happy(x)
56;No university professor is happy;¬∃x (UniversityProfessor(x) ∧ Happy(x));∀x (UniversityProfessor(x) → ¬Happy(x));∀x (UniversityProfessor(x) → ¬Happy(x);¬∃x (UniversityProfessor(x) ∧ Happy(x)
57;None of the university professors are happy;¬∃x (UniversityProfessor(x) ∧ Happy(x));∀x (UniversityProfessor(x) → ¬Happy(x));∀x (Professor(x) → ¬Happy(x);¬∃x (UniversityProfessor(x) ∧ Happy(x)
58;None of Joyce's books are easy to understand;¬∃x (Book(x) ∧ WrittenBy(x, Joyce) ∧ EasyToUnderstand(x);∀x (Book(x) ∧ Author(x, Joyce) → Difficult(x));∀x (Book(x) ∧ Author(x, Joyce) → ¬EasyToUnderstand(x);¬∃x (Book(x) ∧ WrittenBy(x, Joyce) ∧ EasyToUnderstand(x)
59;Everybody sleeps;∀x (Sleeps(x);∀x (Sleep(x));∀x (Person(x) → Sleep(x);∀x (Person(x) → Sleeps(x)
60;Nobody sleeps who is unhappy;¬∃x (Person(x) ∧ Sleeps(x) ∧ Unhappy(x);∀x (¬happy(x) → ¬sleeping(x));∀x (Unhappy(x) → ¬Sleeps(x);¬∃x (Sleeps(x) ∧ Unhappy(x)
61;Please don't leave your belongings behind;∀x (Belongings(x) → ¬LeaveBehind(x);∀x (Belongings(x) → ¬LeftBehind(x));∀x, (Belonging(x) ∧ Leaving(x) → ¬Behind(x);∀x (Person(x) ∧ LeavesBehindBelongings(x) → ¬GoodPerson(x)
62;Does John have any books by Tolkien?;∃x (Book(x) ∧ Author(x, Tolkien) ∧ Owns(John, x);"To translate the given natural language statement into a first-order logic rule, we can use the following notation:

Let 'J' represent John, 'B' represent books, and 'T' represent Tolkien.

The FOL rule can be represented as:

∃x (B(x) ∧ JhasBook(J, x) ∧ Tauthor(x, T))";"To translate the natural language (NL) statement ""Does John have any books by Tolkien?"" to a first-order logic (FOL) rule, we first need to define the necessary predicates and variables. Let's use the following predicates and variables:

- `has(x, y)`: x has y
- `book(z)`: z is a book
- `author(w)`: w is the author of z
- `Tolkien`: the author J.R.R. Tolkien
- `John`: the person John

Now, we can translate the NL statement to the following FOL rule:

∃z (has(John, z) ∧ book(z) ∧ author(z, Tolkien))

This FOL rule reads as ""There exists a book z such that John has z, z is a book, and the author of z is Tolkien."" The question is asking if there is a book in John's possession that was written by Tolkien";∃x (Book(x) ∧ Author(x, Tolkien) ∧ OwnedBy(x, John)
63;John doesn't have Tolkien's books;¬∃x (Person(x) ∧ Books(x) ∧ Tolkien(x) ∧ Owns(x, John);¬(John possesses Tolkien's books);∀x (Tolkien'sBooks(x) → ¬JohnHas(x);¬∃x (Book(x) ∧ OwnedBy(x, John) ∧ WrittenBy(x, Tolkien)
64;Anyone who has a cat also likes dogs;∀x (HasCat(x) → LikesDogs(x);∀x (hasCat(x) → likesDogs(x));∀x (Cat(x) ∧ Person(x) → Likes(x, Dog);∀x (HasCat(x) → LikesDogs(x)
65;Anyone who has a cat also likes dogs who like cats;∀x (CatOwner(x) → ∃y (Dog(y) ∧ LikesCats(y) ∧ OwnerOf(y, x));"Let C(x, y) represent ""person x has a cat y"", D(x, y) represent ""person x likes dogs y"", and L(x, y) represent ""dog y likes cat x"". The given statement can be translated to a FOL rule as follows:

∀x, y (C(x, y) → (∃z D(x, z) ∧ L(z, y)))";∀x (Cat(x) ∧ Has(x, y) → Dog(y) ∧ Likes(y, Cat);∀x (HasCat(x) → ∃y (Dog(y) ∧ LikesCats(y) ∧ Likes(x, y))
66;Not all people who like to wash the dishes also like to clean the bathroom;¬∀x (Person(x) ∧ LikesWashingDishes(x) → LikesCleaningBathroom(x);¬∀x (Lx(wash dishes) → Lx(clean bathroom));∀x (Likes(x, WashingDishes) → ¬Likes(x, CleaningBathroom);¬∀x (Person(x) ∧ LikesToWashDishes(x) → LikesToCleanBathroom(x)
67;If John doesn't study he will fail the exam;∀x (John(x) ∧ ¬Studies(x) → FailExam(x);"Let's define the following symbols:

- S: represents ""John studies""
- F: represents ""John fails the exam""

The given statement can be translated to a FOL rule as follows:

¬S → F";∀x (¬(John(x) ∧ Study(x)) → Fail(x);¬(Studies → FailsExam
68;Everyone whose name is John is lucky;∀x (Name(x) ∧ John(x) → Lucky(x);"∀x ( (name(x, ""John"") ∧ Lucky(x)) → true )";"∀x (Name(x, ""John"") → Lucky(x)";∀x (Person(x) ∧ NameIsJohn(x) → Lucky(x)
69;Not all heroes wear capes;¬∀x (Hero(x) → WearsCape(x);"¬∀x (H(x) → C(x))

In this FOL rule, ""H"" represents the property of being a hero, ""C"" represents the property of wearing a cape, and ""x"" represents an individual. The rule states that it is not the case for all x that if x is a hero, then x wears a cape.";∀x (Hero(x) → ¬Cape(x);¬∀x (Hero(x) → WearsCape(x)
70;Everybody was not examined;∀x (Examined(x) → ¬Examined(x);¬∀x (Examined(x));∀x (¬Examined(x);¬∃x (Person(x) ∧ Examined(x)
71;John would like to introduce his friend Jack;∀x∀y (John(x) ∧ Jack(y) → WouldLikeToIntroduce(x, y);"Let's represent the given statement in first-order logic. We can use the following symbols:

- 'L' for 'likes' or 'would like to introduce'
- 'J' for 'John'
- 'Ja' for 'Jack'

The FOL rule can be represented as:

∃x (L(J, Ja) ∧ ∀y (L(J, y) → y = Ja v J))";introduce(john, jack) :- likes(john, introduce(jack));∃x (Person(x) ∧ Introduces(John, x) ∧ Friend(x, Jack)
72;The quick brown fox jumps over the lazy dog;∀x∀y (QuickBrownFox(x) ∧ LazyDog(y) → JumpsOver(x, y);"Let's represent the given statement in first-order logic. We can use predicates to express the relationships between the subjects.

Predicates:
- Jumps(x, y) - x jumps over y
- Color(x, y) - x has color y
- Speed(x, y) - x has speed y (quick/lazy)

Now, we can translate the statement into a FOL rule:

∃x∃y∃z∃w (Animal(x) ∧ Animal(y) ∧ Color(x, ""brown"") ∧ Speed(x, ""quick"") ∧ Jumps(x, y) ∧ Dog(y) ∧ Speed(y, ""lazy"") ∧ Name(x, ""fox"") ∧ Name(y, ""dog""))";"In first-order logic, we need to define the necessary predicates and variables to represent the given natural language statement. Let's use the following predicates:

- `Quick(x)` for representing that an entity `x` is quick
- `Brown(x)` for representing that an entity `x` is brown
- `Fox(x)` for representing that an entity `x` is a fox
- `Jumps(x, y)` for representing that an entity `x` jumps over an entity `y`
- `Over(y, z)` for representing that an entity `y` is over an entity `z`
- `Lazy(x)` for representing that an entity `x` is lazy
- `Dog(x)` for representing that an entity `x` is a dog

Now, we can translate the given natural language statement to a first-order logic rule:

`Fox(x) ∧ Quick(x) ∧ Brown(x) ∧ Dog(y) ∧ Lazy(y) ∧ Jumps(x, y) ∧ Over(x, y)";∀x∀y (Fox(x) ∧ Dog(y) ∧ Quick(x) ∧ Brown(x) ∧ JumpsOver(x, y) → JumpsOverQuickBrownFoxLazyDog(x, y)
73;Jack is a friend of John;∀x ∀y (Jack(x) ∧ John(y) → FriendOf(x, y);"In first-order logic, we can represent the statement ""Jack is a friend of John"" as follows:

∃x ( (Friend(x, Jack) ∧ Friend(x, John)) )

Here, 'Friend' is a predicate that represents the relationship ""is a friend of"". The existential quantifier (∃) indicates that there exists at least one person x who is a friend of both Jack and John.";FOL Rule: Friend(Jack, John;∀x∀y (Jack(x) ∧ John(y) → Friend(x, y)
74;Joe Biden is the president of the United States of America;∀x (President(x) ∧ UnitedStates(x) → Biden(x);"In first-order logic, we can represent the statement as:

∀x (President(x, USA) ↔ x = Joe_Biden)";president(joe_biden, united_states_of_america);∀x (President(x) ∧ JoeBiden(x) ∧ UnitedStatesOfAmerica(x)
